user_id,plan,country,total_revenue,recency_days,frequency,avg_order_value,total_events,days_since_event,recency_score,frequency_score,monetary_score,activity_score,churn_score,segment,revenue_at_risk,potential_recovery_value,global_priority_rank,revenue_tier,recommended_action,name,email
USR_0079467,Pro,USA,20769.22,831.0,3.0,6923.073333333334,9.0,338.0,100.0,62.5,0.0,40.0,61.62,High Risk,12797.99,3199.5,1,Gold,Retain_Urgent,User_79467,user79467@example.com
USR_0024249,Free,India,22974.05,624.0,6.0,3829.008333333333,9.0,93.0,91.62995594713657,25.0,0.0,40.0,48.9,At Risk,11234.31,2808.58,2,Gold,Retain,User_24249,user24249@example.com
USR_0059224,Enterprise,USA,21915.25,555.0,5.0,4383.05,6.0,124.0,81.4977973568282,37.5,0.0,60.0,50.97,At Risk,11170.2,2792.55,3,Gold,Retain,User_59224,user59224@example.com
USR_0083890,Pro,UK,16239.96,721.0,4.0,4059.99,5.0,0.0,100.0,50.0,0.0,66.66666666666667,62.5,High Risk,10149.98,2537.5,4,Silver,Retain_Urgent,User_83890,user83890@example.com
USR_0019120,Starter,Singapore,22580.059999999998,588.0,7.0,3225.722857142857,8.0,284.0,86.34361233480176,12.5,0.0,46.666666666666664,44.66,At Risk,10084.25,2521.06,5,Gold,Retain,User_19120,user19120@example.com
USR_0087768,Free,India,23694.91,403.0,4.0,5923.7275,9.0,28.0,59.1776798825257,50.0,0.0,40.0,42.17,At Risk,9992.14,2498.04,6,Gold,Retain,User_87768,user87768@example.com
USR_0077404,Starter,India,20590.29,689.0,7.0,2941.4700000000003,10.0,29.0,100.0,12.5,0.0,33.33333333333334,48.12,At Risk,9908.05,2477.01,7,Gold,Retain,User_77404,user77404@example.com
USR_0000674,Free,USA,15314.17,750.0,3.0,5104.723333333333,6.0,330.0,100.0,62.5,0.0,60.0,64.62,High Risk,9896.02,2474.0,8,Silver,Retain_Urgent,User_674,user674@example.com
USR_0010202,Free,India,23738.01,390.0,6.0,3956.3349999999996,3.0,74.0,57.268722466960355,25.0,0.0,80.0,41.16,At Risk,9770.56,2442.64,9,Gold,Retain,User_10202,user10202@example.com
USR_0093611,Free,UK,19055.54,605.0,4.0,4763.885,12.0,142.0,88.83994126284875,50.0,0.0,20.0,51.04,At Risk,9725.95,2431.49,10,Silver,Retain,User_93611,unknown@placeholder.com
USR_0036150,Free,India,17494.079999999998,690.0,5.0,3498.816,9.0,10.0,100.0,37.5,0.0,40.0,55.38,At Risk,9688.22,2422.05,11,Silver,Retain,User_36150,user36150@example.com
USR_0066980,Pro,USA,17689.88,597.0,4.0,4422.47,8.0,42.0,87.66519823788546,50.0,0.0,46.666666666666664,54.57,At Risk,9653.37,2413.34,12,Silver,Retain,User_66980,user66980@example.com
USR_0045431,Starter,India,25030.84,337.0,5.0,5006.168,6.0,15.0,49.48604992657856,37.5,0.0,60.0,38.17,At Risk,9554.27,2388.57,13,Gold,Retain,User_45431,user45431@example.com
USR_0049130,Pro,India,24439.75,308.0,5.0,4887.95,4.0,185.0,45.22760646108664,37.5,0.0,73.33333333333333,38.47,At Risk,9401.97,2350.49,14,Gold,Retain,User_49130,unknown@placeholder.com
